Income_to_poverty_ratio_range,Obese Rate
0-0.5,0.34797297297297297
0.5-1,0.36855670103092786
1-1.25,0.36018957345971564
1.25-2,0.3678500986193294
2-3,0.36363636363636365
3-4,0.35714285714285715
4-5,0.39012345679012345
5-6,0.32849162011173183
